date,TMAX,TMIN,respondent,respondent-name,type,type-name,timezone,timezone-description,demand,value-units
2025-05-05,60.980000000000004,46.94,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2005714,megawatthours
2025-05-06,77.0,46.94,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,1984170,megawatthours
2025-05-07,75.02,48.02,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,1986506,megawatthours
2025-05-08,57.92,41.0,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2025767,megawatthours
2025-05-09,66.92,37.04,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,1923250,megawatthours
2025-05-10,73.04,46.04,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,1775888,megawatthours
2025-05-11,71.06,42.08,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,1820740,megawatthours
2025-05-12,80.06,48.02,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2043592,megawatthours
2025-05-13,78.08,57.92,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2082434,megawatthours
2025-05-14,80.06,55.94,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2107695,megawatthours
2025-05-15,93.91999999999999,57.02,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2261689,megawatthours
2025-05-16,87.98,60.08,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2277799,megawatthours
2025-05-17,71.06,53.96,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2026227,megawatthours
2025-05-18,64.04,44.96,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,1897291,megawatthours
2025-05-19,55.04,42.980000000000004,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2010845,megawatthours
2025-05-20,55.94,48.02,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,1974841,megawatthours
2025-05-21,51.98,48.02,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,1996622,megawatthours
2025-05-22,57.02,46.04,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,1978006,megawatthours
2025-05-23,64.94,42.08,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,1903861,megawatthours
2025-05-24,66.02,44.06,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,1765202,megawatthours
2025-05-25,66.02,46.94,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,1733998,megawatthours
2025-05-26,66.92,46.04,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,1777526,megawatthours
2025-05-27,69.08,51.98,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,1960824,megawatthours
2025-05-28,62.959999999999994,55.04,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,1992338,megawatthours
2025-05-29,69.98,53.06,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2024387,megawatthours
2025-05-30,73.04,53.06,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2044019,megawatthours
2025-05-31,64.04,50.0,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,1822722,megawatthours
2025-06-01,69.98,46.04,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,1782552,megawatthours
2025-06-02,84.02,50.0,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,1999280,megawatthours
2025-06-03,89.06,68.0,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2192466,megawatthours
2025-06-04,71.06,55.04,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2354915,megawatthours
2025-06-05,71.96,53.96,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2401925,megawatthours
2025-06-06,77.0,57.02,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2380416,megawatthours
2025-06-07,77.0,53.96,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2199151,megawatthours
2025-06-08,80.96,59.0,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2089649,megawatthours
2025-06-09,71.06,55.04,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2241398,megawatthours
2025-06-10,78.08,55.04,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2284063,megawatthours
2025-06-11,91.94,64.04,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2402778,megawatthours
2025-06-12,78.98,62.059999999999995,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2554294,megawatthours
2025-06-13,71.06,59.0,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2433294,megawatthours
2025-06-14,75.92,57.92,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2180266,megawatthours
2025-06-15,82.04,57.02,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2084485,megawatthours
2025-06-16,87.98,60.980000000000004,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2281963,megawatthours
2025-06-17,91.94,71.06,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2461357,megawatthours
2025-06-18,80.96,66.02,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2607098,megawatthours
2025-06-19,84.91999999999999,64.94,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2545578,megawatthours
2025-06-20,86.0,69.08,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2462749,megawatthours
2025-06-21,93.91999999999999,78.08,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2643839,megawatthours
2025-06-22,93.91999999999999,80.06,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2833348,megawatthours
2025-06-23,95.0,78.98,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,3243107,megawatthours
2025-06-24,93.91999999999999,73.94,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,3262296,megawatthours
2025-06-25,89.06,71.06,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,3152255,megawatthours
2025-06-26,93.91999999999999,77.0,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2986353,megawatthours
2025-06-27,87.08000000000001,71.96,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2616586,megawatthours
2025-06-28,89.96000000000001,68.0,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2574268,megawatthours
2025-06-29,93.91999999999999,73.04,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2731608,megawatthours
2025-06-30,89.96000000000001,73.94,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2891947,megawatthours
2025-07-01,87.08000000000001,69.98,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2788097,megawatthours
2025-07-02,91.03999999999999,71.06,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2696571,megawatthours
2025-07-03,95.0,71.96,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2737478,megawatthours
2025-07-04,91.94,73.94,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2459314,megawatthours
2025-07-05,93.91999999999999,75.92,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2566129,megawatthours
2025-07-06,84.91999999999999,66.02,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2667278,megawatthours
2025-07-07,82.94,64.94,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2876563,megawatthours
2025-07-08,84.02,69.08,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2889037,megawatthours
2025-07-09,84.91999999999999,69.08,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2801956,megawatthours
2025-07-10,84.91999999999999,66.92,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2734933,megawatthours
2025-07-11,89.96000000000001,69.98,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2870812,megawatthours
2025-07-12,84.02,69.08,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2747174,megawatthours
2025-07-13,80.96,66.92,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2671369,megawatthours
2025-07-14,87.08000000000001,66.02,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2836449,megawatthours
