date,TMAX,TMIN,respondent,respondent-name,type,type-name,timezone,timezone-description,demand,value-units
2025-05-04,82.94,59.0,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1114796,megawatthours
2025-05-05,80.96,60.08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1151316,megawatthours
2025-05-06,84.02,66.92,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1185381,megawatthours
2025-05-07,84.91999999999999,69.08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1222940,megawatthours
2025-05-08,89.96000000000001,66.92,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1214235,megawatthours
2025-05-09,84.91999999999999,68.0,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1189951,megawatthours
2025-05-10,84.02,64.94,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1145071,megawatthours
2025-05-11,82.04,62.059999999999995,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1110723,megawatthours
2025-05-12,86.0,60.980000000000004,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1252353,megawatthours
2025-05-13,95.0,69.08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1406912,megawatthours
2025-05-14,96.08000000000001,75.02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1484450,megawatthours
2025-05-15,95.0,77.0,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1463810,megawatthours
2025-05-16,93.02,80.96,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1472815,megawatthours
2025-05-17,93.91999999999999,78.98,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1450839,megawatthours
2025-05-18,91.94,80.96,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1419175,megawatthours
2025-05-19,91.94,80.06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1467411,megawatthours
2025-05-20,96.08000000000001,80.96,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1429415,megawatthours
2025-05-21,89.06,75.92,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1386664,megawatthours
2025-05-22,93.91999999999999,77.0,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1483819,megawatthours
2025-05-23,93.91999999999999,75.92,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1517942,megawatthours
2025-05-24,96.08000000000001,80.06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1519272,megawatthours
2025-05-25,95.0,82.04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1514585,megawatthours
2025-05-26,87.98,69.98,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1323574,megawatthours
2025-05-27,91.03999999999999,68.0,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1353527,megawatthours
2025-05-28,82.04,71.96,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1305592,megawatthours
2025-05-29,93.91999999999999,71.06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1395401,megawatthours
2025-05-30,89.06,75.02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1313614,megawatthours
2025-05-31,89.96000000000001,75.02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1344164,megawatthours
2025-06-01,93.02,71.96,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1401155,megawatthours
2025-06-02,93.02,75.02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1515859,megawatthours
2025-06-03,89.96000000000001,73.94,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1503443,megawatthours
2025-06-04,91.94,78.98,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1430566,megawatthours
2025-06-05,93.91999999999999,75.92,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1497131,megawatthours
2025-06-06,95.0,80.06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1560969,megawatthours
2025-06-07,96.98,78.98,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1539505,megawatthours
2025-06-08,98.06,78.98,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1537993,megawatthours
2025-06-09,93.91999999999999,71.96,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1511311,megawatthours
2025-06-10,93.02,77.0,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1442103,megawatthours
2025-06-11,82.94,73.94,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1344413,megawatthours
2025-06-12,80.96,71.06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1324651,megawatthours
2025-06-13,91.94,73.04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1478109,megawatthours
