date,TMAX,TMIN,respondent,respondent-name,type,type-name,timezone,timezone-description,demand,value-units
2025-05-04,69.08,60.08,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,349654,megawatthours
2025-05-05,60.980000000000004,57.02,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,375255,megawatthours
2025-05-06,64.04,57.02,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,360106,megawatthours
2025-05-07,73.94,55.04,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,357887,megawatthours
2025-05-08,78.08,60.08,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,369593,megawatthours
2025-05-09,60.08,51.08,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,371722,megawatthours
2025-05-10,71.96,50.0,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,318627,megawatthours
2025-05-11,77.0,57.92,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,314294,megawatthours
2025-05-12,71.96,57.02,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,351424,megawatthours
2025-05-13,69.08,57.92,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,371435,megawatthours
2025-05-14,62.059999999999995,55.94,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,374930,megawatthours
2025-05-15,69.08,59.0,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,379942,megawatthours
2025-05-16,71.96,60.980000000000004,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,382250,megawatthours
2025-05-17,82.04,62.959999999999994,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,370178,megawatthours
2025-05-18,73.04,60.980000000000004,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,350246,megawatthours
2025-05-19,69.08,51.08,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,352738,megawatthours
2025-05-20,66.92,48.92,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,345052,megawatthours
2025-05-21,59.0,48.92,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,370697,megawatthours
2025-05-22,51.08,48.02,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,374864,megawatthours
2025-05-23,62.959999999999994,46.94,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,364713,megawatthours
2025-05-24,64.04,48.02,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,329213,megawatthours
2025-05-25,66.02,51.98,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,317380,megawatthours
2025-05-26,73.04,51.98,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,315288,megawatthours
2025-05-27,73.94,57.02,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,354571,megawatthours
2025-05-28,64.94,51.98,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,358824,megawatthours
2025-05-29,66.92,55.04,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,364646,megawatthours
2025-05-30,75.02,62.059999999999995,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,365737,megawatthours
2025-05-31,66.92,53.06,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,345111,megawatthours
2025-06-01,66.02,50.0,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,320973,megawatthours
2025-06-02,71.06,53.06,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,340841,megawatthours
2025-06-03,78.98,55.94,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,363595,megawatthours
2025-06-04,82.94,62.059999999999995,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,403374,megawatthours
2025-06-05,87.08000000000001,69.98,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,454411,megawatthours
2025-06-06,84.02,71.06,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,458228,megawatthours
2025-06-07,75.92,66.02,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,402867,megawatthours
2025-06-08,75.92,62.959999999999994,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,371066,megawatthours
2025-06-09,64.04,62.059999999999995,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,393348,megawatthours
2025-06-10,73.04,62.059999999999995,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,392609,megawatthours
2025-06-11,80.96,64.94,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,411978,megawatthours
2025-06-12,87.08000000000001,69.98,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,444615,megawatthours
2025-06-13,78.08,66.92,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,406317,megawatthours
2025-06-14,68.0,59.0,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,357259,megawatthours
2025-06-15,64.04,59.0,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,346007,megawatthours
2025-06-16,69.08,60.08,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,387018,megawatthours
2025-06-17,66.92,62.059999999999995,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,405003,megawatthours
2025-06-18,84.02,64.94,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,447644,megawatthours
2025-06-19,87.98,69.98,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,486523,megawatthours
2025-06-20,82.04,66.92,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,443986,megawatthours
2025-06-21,86.0,71.96,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,460139,megawatthours
2025-06-22,87.98,71.06,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,506129,megawatthours
2025-06-23,96.08000000000001,80.06,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,611051,megawatthours
2025-06-24,98.96000000000001,80.96,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,637696,megawatthours
2025-06-25,96.08000000000001,80.96,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,628769,megawatthours
2025-06-26,84.91999999999999,66.02,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,485906,megawatthours
2025-06-27,71.96,62.059999999999995,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,423031,megawatthours
2025-06-28,82.94,62.959999999999994,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,444680,megawatthours
2025-06-29,89.06,77.0,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,479722,megawatthours
2025-06-30,89.96000000000001,71.06,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,536985,megawatthours
2025-07-01,89.06,71.96,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,550254,megawatthours
2025-07-02,84.02,71.06,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,509100,megawatthours
2025-07-03,87.98,69.08,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,488481,megawatthours
2025-07-04,82.94,66.92,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,411270,megawatthours
2025-07-05,84.02,68.0,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,445794,megawatthours
2025-07-06,87.08000000000001,71.96,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,506101,megawatthours
2025-07-07,87.08000000000001,75.92,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,566605,megawatthours
2025-07-08,93.02,73.04,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,572908,megawatthours
