date,TMAX,TMIN,respondent,respondent-name,type,type-name,timezone,timezone-description,demand,value-units
2025-05-04,82.94,64.94,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,76402,megawatthours
2025-05-05,73.94,59.0,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,79407,megawatthours
2025-05-06,77.0,62.059999999999995,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,83405,megawatthours
2025-05-07,86.0,64.94,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,82119,megawatthours
2025-05-08,95.0,66.02,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,90021,megawatthours
2025-05-09,104.0,73.04,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,103394,megawatthours
2025-05-10,102.91999999999999,78.08,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,104585,megawatthours
2025-05-11,104.0,77.0,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,103311,megawatthours
2025-05-12,100.94,80.06,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,108451,megawatthours
2025-05-13,89.96000000000001,75.02,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,91116,megawatthours
2025-05-14,84.02,66.02,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,88982,megawatthours
2025-05-15,89.06,64.94,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,94742,megawatthours
2025-05-16,93.91999999999999,66.92,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,93509,megawatthours
2025-05-17,95.0,69.98,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,88837,megawatthours
2025-05-18,86.0,66.92,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,84452,megawatthours
2025-05-19,93.91999999999999,69.98,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,93963,megawatthours
2025-05-20,98.96000000000001,69.98,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,104672,megawatthours
2025-05-21,102.02,71.06,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,108231,megawatthours
2025-05-22,105.98,73.94,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,108812,megawatthours
2025-05-23,102.91999999999999,73.94,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,106330,megawatthours
2025-05-24,100.03999999999999,75.02,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,99916,megawatthours
2025-05-25,98.06,73.04,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,95885,megawatthours
2025-05-26,100.03999999999999,73.04,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,97556,megawatthours
2025-05-27,100.94,75.02,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,105337,megawatthours
2025-05-28,102.91999999999999,73.94,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,107031,megawatthours
2025-05-29,100.94,78.98,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,104830,megawatthours
2025-05-30,104.0,73.04,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,110731,megawatthours
2025-05-31,102.02,82.04,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,116771,megawatthours
2025-06-01,91.03999999999999,69.08,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,103800,megawatthours
2025-06-02,89.06,66.92,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,96907,megawatthours
2025-06-03,96.98,78.08,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,109967,megawatthours
2025-06-04,95.0,75.02,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,110125,megawatthours
2025-06-05,100.94,78.08,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,111256,megawatthours
2025-06-06,104.0,80.06,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,115655,megawatthours
2025-06-07,104.0,80.06,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,110629,megawatthours
2025-06-08,107.06,78.98,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,109708,megawatthours
2025-06-09,109.03999999999999,80.06,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,122465,megawatthours
2025-06-10,107.96000000000001,80.96,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,124510,megawatthours
2025-06-11,107.96000000000001,82.94,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,124732,megawatthours
2025-06-12,107.96000000000001,84.02,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,122683,megawatthours
2025-06-13,107.96000000000001,82.04,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,119912,megawatthours
2025-06-14,109.94,82.04,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,122880,megawatthours
2025-06-15,114.08000000000001,80.96,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,129004,megawatthours
2025-06-16,114.08000000000001,82.94,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,137265,megawatthours
2025-06-17,109.94,86.0,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,139193,megawatthours
2025-06-18,114.08000000000001,82.94,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,141064,megawatthours
2025-06-19,116.96000000000001,84.91999999999999,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,140832,megawatthours
2025-06-20,109.94,84.02,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,128192,megawatthours
2025-06-21,105.98,82.04,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,121415,megawatthours
2025-06-22,98.96000000000001,78.98,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,113776,megawatthours
2025-06-23,104.0,80.06,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,120139,megawatthours
2025-06-24,105.08000000000001,80.96,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,118570,megawatthours
2025-06-25,102.91999999999999,78.98,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,118921,megawatthours
2025-06-26,105.08000000000001,80.96,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,126343,megawatthours
2025-06-27,107.06,82.04,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,133774,megawatthours
2025-06-28,109.03999999999999,87.08000000000001,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,137126,megawatthours
