date,TMAX,TMIN,respondent,respondent-name,type,type-name,timezone,timezone-description,demand,value-units
2025-05-05,69.98,42.08,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,569712,megawatthours
2025-05-06,77.0,48.02,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,578349,megawatthours
2025-05-07,66.02,46.04,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,570803,megawatthours
2025-05-08,62.959999999999994,42.980000000000004,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,588535,megawatthours
2025-05-09,69.98,44.06,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,641675,megawatthours
2025-05-10,62.959999999999994,48.92,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,633201,megawatthours
2025-05-11,62.059999999999995,48.92,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,572294,megawatthours
2025-05-12,66.92,44.96,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,586508,megawatthours
2025-05-13,60.08,48.02,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,571655,megawatthours
2025-05-14,62.059999999999995,48.92,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,569447,megawatthours
2025-05-15,55.94,44.06,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,583063,megawatthours
2025-05-16,59.0,48.02,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,591749,megawatthours
2025-05-17,62.059999999999995,48.02,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,540939,megawatthours
2025-05-18,62.059999999999995,44.96,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,513635,megawatthours
2025-05-19,60.980000000000004,46.94,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,596583,megawatthours
2025-05-20,60.08,46.94,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,638795,megawatthours
2025-05-21,62.059999999999995,48.92,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,652230,megawatthours
2025-05-22,68.0,48.92,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,639378,megawatthours
2025-05-23,66.92,48.92,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,604138,megawatthours
2025-05-24,75.92,46.94,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,549447,megawatthours
2025-05-25,69.08,50.0,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,524574,megawatthours
2025-05-26,66.92,51.08,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,544281,megawatthours
2025-05-27,75.02,48.02,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,591913,megawatthours
2025-05-28,80.96,53.96,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,615414,megawatthours
2025-05-29,69.08,53.96,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,630318,megawatthours
2025-05-30,77.0,50.0,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,697980,megawatthours
2025-05-31,64.04,51.98,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,691130,megawatthours
2025-06-01,66.92,46.94,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,627001,megawatthours
2025-06-02,71.06,48.02,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,641555,megawatthours
2025-06-03,73.94,51.08,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,643073,megawatthours
2025-06-04,66.92,53.96,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,652446,megawatthours
2025-06-05,77.0,51.08,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,652514,megawatthours
2025-06-06,78.98,57.02,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,646847,megawatthours
2025-06-07,80.96,55.04,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,609031,megawatthours
2025-06-08,89.96000000000001,60.980000000000004,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,588501,megawatthours
2025-06-09,87.08000000000001,60.980000000000004,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,653420,megawatthours
2025-06-10,80.96,53.06,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,666287,megawatthours
2025-06-11,69.08,51.08,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,655260,megawatthours
2025-06-12,66.02,51.08,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,646001,megawatthours
2025-06-13,64.04,50.0,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,638247,megawatthours
2025-06-14,68.0,48.92,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,604168,megawatthours
2025-06-15,71.06,51.98,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,608560,megawatthours
2025-06-16,73.94,50.0,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,679842,megawatthours
2025-06-17,73.04,50.0,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,700474,megawatthours
2025-06-18,69.08,55.04,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,718327,megawatthours
2025-06-19,69.08,50.0,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,669138,megawatthours
2025-06-20,62.959999999999994,51.08,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,624752,megawatthours
2025-06-21,57.92,50.0,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,562731,megawatthours
2025-06-22,68.0,53.06,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,553248,megawatthours
2025-06-23,77.0,53.06,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,628050,megawatthours
2025-06-24,80.06,53.96,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,633555,megawatthours
2025-06-25,71.06,53.96,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,657088,megawatthours
2025-06-26,66.02,55.04,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,673576,megawatthours
2025-06-27,69.08,55.04,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,692791,megawatthours
2025-06-28,75.02,55.04,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,675278,megawatthours
2025-06-29,80.06,55.04,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,657519,megawatthours
2025-06-30,87.08000000000001,60.08,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,704726,megawatthours
2025-07-01,87.08000000000001,57.92,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,695650,megawatthours
2025-07-02,75.02,53.96,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,691905,megawatthours
2025-07-03,69.08,53.06,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,681238,megawatthours
2025-07-04,73.94,55.04,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,625319,megawatthours
2025-07-05,75.02,53.06,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,618735,megawatthours
2025-07-06,78.98,57.02,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,619859,megawatthours
2025-07-07,84.91999999999999,57.92,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,686056,megawatthours
2025-07-08,84.91999999999999,57.92,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,706808,megawatthours
2025-07-09,71.96,59.0,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,726514,megawatthours
2025-07-10,73.04,57.02,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,758555,megawatthours
2025-07-11,84.02,59.0,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,754699,megawatthours
