date,respondent,respondent-name,type,type-name,timezone,timezone-description,demand,value-units
2025-05-04,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,505596,megawatthours
2025-05-04,CISO,California Independent System Operator,D,Demand,Central,Central,504939,megawatthours
2025-05-04,CISO,California Independent System Operator,D,Demand,Eastern,Eastern,504630,megawatthours
2025-05-04,CISO,California Independent System Operator,D,Demand,Mountain,Mountain,505458,megawatthours
2025-05-04,CISO,California Independent System Operator,D,Demand,Pacific,Pacific,505596,megawatthours
2025-05-04,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Arizona,Arizona,480173,megawatthours
2025-05-04,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Central,Central,479573,megawatthours
2025-05-04,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Eastern,Eastern,479148,megawatthours
2025-05-04,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Mountain,Mountain,479921,megawatthours
2025-05-04,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Pacific,Pacific,480173,megawatthours
2025-05-04,CISO,California Independent System Operator,NG,Net generation,Arizona,Arizona,447661,megawatthours
2025-05-04,CISO,California Independent System Operator,NG,Net generation,Central,Central,447672,megawatthours
2025-05-04,CISO,California Independent System Operator,NG,Net generation,Eastern,Eastern,448110,megawatthours
2025-05-04,CISO,California Independent System Operator,NG,Net generation,Mountain,Mountain,447592,megawatthours
2025-05-04,CISO,California Independent System Operator,NG,Net generation,Pacific,Pacific,447661,megawatthours
2025-05-04,CISO,California Independent System Operator,TI,Total interchange,Arizona,Arizona,-61233,megawatthours
2025-05-04,CISO,California Independent System Operator,TI,Total interchange,Central,Central,-61183,megawatthours
2025-05-04,CISO,California Independent System Operator,TI,Total interchange,Eastern,Eastern,-60267,megawatthours
2025-05-04,CISO,California Independent System Operator,TI,Total interchange,Mountain,Mountain,-61554,megawatthours
2025-05-04,CISO,California Independent System Operator,TI,Total interchange,Pacific,Pacific,-61233,megawatthours
2025-05-05,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,569712,megawatthours
2025-05-05,CISO,California Independent System Operator,D,Demand,Central,Central,565546,megawatthours
2025-05-05,CISO,California Independent System Operator,D,Demand,Eastern,Eastern,562802,megawatthours
2025-05-05,CISO,California Independent System Operator,D,Demand,Mountain,Mountain,567721,megawatthours
2025-05-05,CISO,California Independent System Operator,D,Demand,Pacific,Pacific,569712,megawatthours
2025-05-05,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Arizona,Arizona,547570,megawatthours
2025-05-05,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Central,Central,544400,megawatthours
2025-05-05,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Eastern,Eastern,542441,megawatthours
2025-05-05,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Mountain,Mountain,546002,megawatthours
2025-05-05,CISO,California Independent System Operator,DF,Day-ahead demand forecast,Pacific,Pacific,547570,megawatthours
2025-05-05,CISO,California Independent System Operator,NG,Net generation,Arizona,Arizona,490976,megawatthours
2025-05-05,CISO,California Independent System Operator,NG,Net generation,Central,Central,486063,megawatthours
2025-05-05,CISO,California Independent System Operator,NG,Net generation,Eastern,Eastern,482888,megawatthours
2025-05-05,CISO,California Independent System Operator,NG,Net generation,Mountain,Mountain,488445,megawatthours
2025-05-05,CISO,California Independent System Operator,NG,Net generation,Pacific,Pacific,490976,megawatthours
2025-05-05,CISO,California Independent System Operator,TI,Total interchange,Arizona,Arizona,-77833,megawatthours
2025-05-05,CISO,California Independent System Operator,TI,Total interchange,Central,Central,-79816,megawatthours
2025-05-05,CISO,California Independent System Operator,TI,Total interchange,Eastern,Eastern,-80814,megawatthours
2025-05-05,CISO,California Independent System Operator,TI,Total interchange,Mountain,Mountain,-78518,megawatthours
2025-05-05,CISO,California Independent System Operator,TI,Total interchange,Pacific,Pacific,-77833,megawatthours
2025-05-06,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,578349,megawatthours
