date,TMAX,TMIN
2025-05-03T00:00:00,57.02,44.96
2025-05-04T00:00:00,60.980000000000004,42.08
2025-05-05T00:00:00,69.98,42.08
2025-05-06T00:00:00,77.0,48.02
2025-05-07T00:00:00,66.02,46.04
2025-05-08T00:00:00,62.959999999999994,42.980000000000004
2025-05-09T00:00:00,69.98,44.06
2025-05-10T00:00:00,62.959999999999994,48.92
2025-05-11T00:00:00,62.059999999999995,48.92
2025-05-12T00:00:00,66.92,44.96
2025-05-13T00:00:00,60.08,48.02
2025-05-14T00:00:00,62.059999999999995,48.92
2025-05-15T00:00:00,55.94,44.06
2025-05-16T00:00:00,59.0,48.02
2025-05-17T00:00:00,62.059999999999995,48.02
2025-05-18T00:00:00,62.059999999999995,44.96
2025-05-19T00:00:00,60.980000000000004,46.94
2025-05-20T00:00:00,60.08,46.94
2025-05-21T00:00:00,62.059999999999995,48.92
2025-05-22T00:00:00,68.0,48.92
2025-05-23T00:00:00,66.92,48.92
2025-05-24T00:00:00,75.92,46.94
2025-05-25T00:00:00,69.08,50.0
2025-05-26T00:00:00,66.92,51.08
2025-05-27T00:00:00,75.02,48.02
2025-05-28T00:00:00,80.96,53.96
2025-05-29T00:00:00,69.08,53.96
2025-05-30T00:00:00,77.0,50.0
2025-05-31T00:00:00,64.04,51.98
2025-06-01T00:00:00,66.92,46.94
2025-06-02T00:00:00,71.06,48.02
2025-06-03T00:00:00,73.94,51.08
2025-06-04T00:00:00,66.92,53.96
2025-06-05T00:00:00,77.0,51.08
2025-06-06T00:00:00,78.98,57.02
2025-06-07T00:00:00,80.96,55.04
2025-06-08T00:00:00,89.96000000000001,60.980000000000004
2025-06-09T00:00:00,87.08000000000001,60.980000000000004
2025-06-10T00:00:00,80.96,53.06
2025-06-11T00:00:00,69.08,51.08
2025-06-12T00:00:00,66.02,51.08
2025-06-13T00:00:00,64.04,50.0
2025-06-14T00:00:00,68.0,48.92
2025-06-15T00:00:00,71.06,51.98
2025-06-16T00:00:00,73.94,50.0
2025-06-17T00:00:00,73.04,50.0
2025-06-18T00:00:00,69.08,55.04
2025-06-19T00:00:00,69.08,50.0
2025-06-20T00:00:00,62.959999999999994,51.08
2025-06-21T00:00:00,57.92,50.0
2025-06-22T00:00:00,68.0,53.06
2025-06-23T00:00:00,77.0,53.06
2025-06-24T00:00:00,80.06,53.96
2025-06-25T00:00:00,71.06,53.96
2025-06-26T00:00:00,66.02,55.04
2025-06-27T00:00:00,69.08,55.04
2025-06-28T00:00:00,75.02,55.04
2025-06-29T00:00:00,80.06,55.04
2025-06-30T00:00:00,87.08000000000001,60.08
2025-07-01T00:00:00,87.08000000000001,57.92
2025-07-02T00:00:00,75.02,53.96
2025-07-03T00:00:00,69.08,53.06
2025-07-04T00:00:00,73.94,55.04
2025-07-05T00:00:00,75.02,53.06
2025-07-06T00:00:00,78.98,57.02
2025-07-07T00:00:00,84.91999999999999,57.92
2025-07-08T00:00:00,84.91999999999999,57.92
2025-07-09T00:00:00,71.96,59.0
2025-07-10T00:00:00,73.04,57.02
2025-07-11T00:00:00,84.02,59.0
2025-07-12T00:00:00,82.94,64.04
2025-07-13T00:00:00,89.96000000000001,64.04
2025-07-14T00:00:00,78.08,62.059999999999995
2025-07-15T00:00:00,87.98,55.94
2025-07-16T00:00:00,93.91999999999999,66.02
2025-07-17T00:00:00,86.0,55.94
2025-07-18T00:00:00,69.98,55.94
2025-07-19T00:00:00,69.98,55.04
2025-07-20T00:00:00,64.94,51.08
2025-07-21T00:00:00,77.0,53.96
2025-07-22T00:00:00,78.08,57.02
2025-07-23T00:00:00,82.94,57.02
2025-07-24T00:00:00,75.92,55.04
2025-07-25T00:00:00,71.06,55.04
2025-07-26T00:00:00,71.06,53.06
2025-07-27T00:00:00,75.92,55.04
2025-07-28T00:00:00,82.04,53.96
2025-07-29T00:00:00,84.91999999999999,57.02
2025-07-30T00:00:00,84.91999999999999,57.92
2025-07-31T00:00:00,80.06,60.08
